rag_enabled,rag_type,rag_search_time,rag_query_generation_time,llm_total_time,llm_query_gen_time,llm_command_gen_time,robot_simulation_time,truck_simulation_time,uav_simulation_time,robot_success,truck_success,uav_success,total_time
False,none,0.0,0.0,15.90321159362793,0.0,15.90321159362793,533.6110305786133,121.21967697143555,1.021902322769165,True,False,True,191.5215163230896
False,none,0.0,0.0,15.816835641860962,0.0,15.816835641860962,10.220141410827637,121.14253067970276,1.0356624126434326,True,False,True,139.03174924850464
False,none,0.0,0.0,25.123075008392334,0.0,25.123075008392334,10.167829990386963,121.16003966331482,121.16531538963318,True,False,False,268.4791142940521
False,none,0.0,0.0,17.26605200767517,0.0,17.26605200767517,10.163791179656982,121.12980580329895,1.0267539024353027,True,False,True,140.4537410736084
False,none,0.0,0.0,32.98016881942749,0.0,32.98016881942749,10.159053802490234,121.12151622772217,1.0325450897216797,True,False,True,156.16508769989014
False,none,0.0,0.0,40.37696838378906,0.0,40.37696838378906,10.170273780822754,121.12970852851868,1.0215685367584229,True,False,True,163.5607466697693
False,none,0.0,0.0,15.378135919570923,0.0,15.378135919570923,10.166692733764648,121.15220832824707,1.0272698402404785,True,False,True,138.58877444267273
False,none,0.0,0.0,21.700962781906128,0.0,21.700962781906128,10.182132720947266,121.10985541343689,1.0243895053863525,True,False,True,144.86892819404602
False,none,0.0,0.0,19.72096538543701,0.0,19.72096538543701,10.207290649414062,121.08511972427368,121.12583494186401,True,False,False,262.96802592277527
False,none,0.0,0.0,15.159188032150269,0.0,15.159188032150269,10.143578052520752,121.15366268157959,121.14075660705566,True,False,False,258.48230481147766
False,none,0.0,0.0,24.99869465827942,0.0,24.99869465827942,10.307602882385254,1.0195255279541016,1.0223383903503418,True,True,True,28.080134391784668
False,none,0.0,0.0,20.822214365005493,0.0,20.822214365005493,10.154962539672852,2448.0,18.2,True,True,True,41.011372566223145
False,none,0.0,0.0,23.418450593948364,0.0,23.418450593948364,10.180175304412842,2304.0,2475.4,True,True,True,48.61848783493042
False,none,0.0,0.0,35.46615242958069,0.0,35.46615242958069,10.206513404846191,2700.0,745.13,True,True,True,60.68627333641052
False,none,0.0,0.0,41.705397605895996,0.0,41.705397605895996,10.185441970825195,2304.0,1268.62,True,True,True,62.8930823802948
False,none,0.0,0.0,17.041207790374756,0.0,17.041207790374756,10.231335163116455,3060.0,1870.33,True,True,True,42.250436782836914
False,none,0.0,0.0,42.057825803756714,0.0,42.057825803756714,10.237040519714355,2664.0,2359.79,True,True,True,66.27414226531982
False,none,0.0,0.0,20.610668420791626,0.0,20.610668420791626,10.266335010528564,2304.0,2467.69,True,True,True,43.82605528831482
False,none,0.0,0.0,35.50146222114563,0.0,35.50146222114563,10.237419605255127,2700.0,744.85,True,True,True,55.666741609573364
