rag_enabled,rag_type,rag_search_time,rag_query_generation_time,llm_total_time,llm_query_gen_time,llm_command_gen_time,robot_simulation_time,truck_simulation_time,uav_simulation_time,robot_success,truck_success,uav_success,total_time
True,graphrag_perturbed_-50%,60.053215742111206,30.66709017753601,45.09576082229614,30.66709017753601,14.428670644760132,10.136754512786865,121.13604760169983,121.14771056175232,True,False,False,348.4623074531555
True,graphrag_perturbed_-30%,60.041654109954834,15.502336025238037,28.980003595352173,15.502336025238037,13.477667570114136,10.15758752822876,121.19825863838196,1.0272197723388672,True,False,True,212.27837204933167
True,graphrag_perturbed_-10%,60.06230640411377,13.313833951950073,26.758561372756958,13.313833951950073,13.444727420806885,10.197994709014893,121.15659666061401,1.026174783706665,True,False,True,210.03974080085754
True,graphrag_perturbed_+0%,60.06533074378967,50.40480327606201,71.22452807426453,50.40480327606201,20.819724798202515,10.160446166992188,121.16241478919983,1.0241339206695557,True,False,True,254.50804376602173
True,graphrag_perturbed_+10%,60.00468873977661,25.317539930343628,45.14326763153076,25.317539930343628,19.825727701187134,10.215682983398438,121.16528582572937,121.1274483203888,True,False,False,348.479453086853
True,graphrag_perturbed_+30%,60.0042884349823,34.268760681152344,47.836371183395386,34.268760681152344,13.567610502243042,10.205698013305664,121.13918232917786,1.025409460067749,True,False,True,231.03865551948547
True,graphrag_perturbed_+50%,60.00375461578369,32.59322166442871,48.128501415252686,32.59322166442871,15.535279750823975,10.224449634552002,121.17320966720581,1.0267832279205322,True,False,True,231.37114191055298
True,graphrag_perturbed_-50%,25.804072618484497,35.52904534339905,52.70850896835327,35.52904534339905,17.179463624954224,10.17359972000122,121.12644100189209,1.0234968662261963,True,False,True,201.6959366798401
True,graphrag_perturbed_-30%,29.605591297149658,16.98930311203003,36.40125346183777,16.98930311203003,19.41195034980774,10.119655132293701,121.12146401405334,1.0207240581512451,True,False,True,189.17627620697021
True,graphrag_perturbed_-10%,25.216959714889526,40.01026272773743,53.571913957595825,40.01026272773743,13.561651229858398,10.182466506958008,121.1074767112732,1.024123191833496,True,False,True,201.95436573028564
True,graphrag_perturbed_+0%,29.673743724822998,45.879474401474,68.25134468078613,45.879474401474,22.371870279312134,10.162601470947266,121.12449264526367,1.0203323364257812,True,False,True,221.10226345062256
True,graphrag_perturbed_+10%,26.304370641708374,24.430707454681396,37.28957962989807,24.430707454681396,12.858872175216675,10.152583122253418,121.12739133834839,1.020977258682251,True,False,True,186.77310061454773
True,graphrag_perturbed_+30%,29.672048330307007,18.947876930236816,34.31225037574768,18.947876930236816,15.364373445510864,10.174524784088135,121.13235187530518,1.0261573791503906,True,False,True,187.17601108551025
True,graphrag_perturbed_+50%,21.681011199951172,63.0504937171936,77.43518257141113,63.0504937171936,14.38468885421753,10.171873569488525,121.13596987724304,1.0208520889282227,True,False,True,222.30723762512207
True,graphrag_perturbed_-50%,21.430095434188843,18.77010416984558,31.79936122894287,18.77010416984558,13.02925705909729,10.19895315170288,121.09407138824463,1.037297248840332,True,False,True,176.3976767063141
True,graphrag_perturbed_-30%,21.41081976890564,22.39182949066162,36.7745406627655,22.39182949066162,14.382711172103882,10.215940475463867,121.10395216941833,1.0277941226959229,True,False,True,181.3541145324707
True,graphrag_perturbed_-10%,20.9963800907135,24.81771755218506,39.05362868309021,24.81771755218506,14.235911130905151,10.221407413482666,121.07514595985413,121.09004330635071,True,False,False,303.25285506248474
True,graphrag_perturbed_+0%,21.390390872955322,17.240471839904785,30.535553693771362,17.240471839904785,13.295081853866577,10.271015167236328,121.10108685493469,1.0267822742462158,True,False,True,175.09522128105164
True,graphrag_perturbed_+10%,21.420652866363525,41.23192882537842,54.65767431259155,41.23192882537842,13.425745487213135,10.247139930725098,121.10553002357483,1.0303359031677246,True,False,True,199.25536966323853
True,graphrag_perturbed_+30%,20.964619874954224,20.382599592208862,35.62053322792053,20.382599592208862,15.23793363571167,10.178604125976562,121.08823919296265,1.030409336090088,True,False,True,179.73768019676208
True,graphrag_perturbed_+50%,20.978521823883057,28.03668999671936,38.7582311630249,28.03668999671936,10.721541166305542,10.16038179397583,121.09071516990662,1.026972770690918,True,False,True,182.8859531879425
True,graphrag_perturbed_-50%,29.68418788909912,6.535912275314331,22.68664836883545,6.535912275314331,16.150736093521118,10.188395977020264,121.12778544425964,1.0209448337554932,True,False,True,175.55366492271423
True,graphrag_perturbed_-30%,24.14200735092163,11.846132278442383,25.35502815246582,11.846132278442383,13.508895874023438,10.208377838134766,121.10330247879028,1.0241737365722656,True,False,True,172.66313409805298
True,graphrag_perturbed_-10%,24.204237699508667,10.623457431793213,21.613615036010742,10.623457431793213,10.99015760421753,10.20972728729248,121.11508059501648,1.0266895294189453,True,False,True,168.9960811138153
True,graphrag_perturbed_+0%,24.124107360839844,12.547839641571045,31.417691469192505,12.547839641571045,18.86985182762146,10.15226125717163,121.13679528236389,1.026557445526123,True,False,True,178.7355887889862
True,graphrag_perturbed_+10%,29.700530290603638,7.727182865142822,19.238129377365112,7.727182865142822,11.51094651222229,10.21608829498291,121.10742115974426,1.025200605392456,True,False,True,172.10959267616272
True,graphrag_perturbed_+30%,21.537383794784546,7.163261413574219,19.057119369506836,7.163261413574219,11.893857955932617,10.155446529388428,121.11981248855591,1.0220835208892822,True,False,True,163.7678940296173
True,graphrag_perturbed_+50%,24.126200437545776,9.582677841186523,27.661911725997925,9.582677841186523,18.0792338848114,10.225214958190918,121.10458874702454,1.024200677871704,True,False,True,174.95499300956726
