rag_enabled,rag_type,rag_search_time,rag_query_generation_time,llm_total_time,llm_query_gen_time,llm_command_gen_time,robot_simulation_time,truck_simulation_time,uav_simulation_time,robot_success,truck_success,uav_success,total_time
True,graphrag,23.392929792404175,39.005653858184814,52.17030119895935,39.005653858184814,13.164647340774536,513.6242985725403,121.3402373790741,1.024946928024292,True,False,True,249.3065311908722
True,graphrag,27.4891939163208,13.632557392120361,26.487274646759033,13.632557392120361,12.854717254638672,10.224483013153076,121.1646523475647,1.0361900329589844,True,False,True,177.21007680892944
True,graphrag,27.239315271377563,11.341967105865479,23.38809609413147,11.341967105865479,12.046128988265991,10.181705951690674,121.17376756668091,121.11975121498108,True,False,False,293.9580397605896
True,graphrag,17.797441720962524,22.25642681121826,36.511595010757446,22.25642681121826,14.255168199539185,10.266063213348389,121.27956819534302,1.0310494899749756,True,False,True,177.66265869140625
True,graphrag,31.985470056533813,49.02090311050415,60.90145707130432,49.02090311050415,11.880553960800171,10.130338668823242,121.1901741027832,1.034334421157837,True,False,True,216.13343572616577
True,graphrag,31.24506139755249,126.1385109424591,141.52698183059692,126.1385109424591,15.388470888137817,10.858888626098633,121.34734630584717,1.0238466262817383,True,False,True,296.23748254776
True,graphrag,40.620219707489014,67.67896389961243,81.0017306804657,67.67896389961243,13.322766780853271,10.16782283782959,121.1935966014862,1.032895565032959,True,False,True,244.8809449672699
True,graphrag,29.814278841018677,25.697251081466675,40.580671310424805,25.697251081466675,14.88342022895813,10.156683921813965,121.16625380516052,1.027054786682129,True,False,True,193.6202597618103
True,graphrag,32.52969694137573,30.29139804840088,47.62450361251831,30.29139804840088,17.33310556411743,10.232040882110596,121.14123249053955,1.0270969867706299,True,False,True,203.36244440078735
True,graphrag,39.03706097602844,35.252177476882935,55.14164686203003,35.252177476882935,19.889469385147095,10.154821872711182,121.1395468711853,1.0377776622772217,True,False,True,217.38686180114746
True,graphrag,19.977291107177734,13.594740390777588,28.041642665863037,13.594740390777588,14.44690227508545,10.286238193511963,121.15474271774292,1.0284523963928223,True,False,True,171.24631714820862
True,graphrag,28.104246377944946,20.029059886932373,39.83178234100342,20.029059886932373,19.802722454071045,10.201385021209717,121.13794493675232,1.0385005474090576,True,False,True,191.14884543418884
True,graphrag,22.009294271469116,29.06435227394104,39.52354836463928,29.06435227394104,10.459196090698242,10.204744338989258,121.09641981124878,1.0230777263641357,True,False,True,184.68882369995117
True,graphrag,19.699760913848877,15.474499940872192,30.249058485031128,15.474499940872192,14.774558544158936,10.236823558807373,121.10142064094543,1.0258300304412842,True,False,True,173.1136269569397
True,graphrag,24.76022458076477,14.403699398040771,30.12683653831482,14.403699398040771,15.723137140274048,10.223197937011719,121.12125039100647,1.0337638854980469,True,False,True,178.08127093315125
True,graphrag,31.208695888519287,7.455118417739868,23.13930869102478,7.455118417739868,15.684190273284912,10.26336669921875,121.14554071426392,1.026242971420288,True,False,True,177.5611126422882
