rag_enabled,rag_type,rag_search_time,rag_query_generation_time,llm_total_time,llm_query_gen_time,llm_command_gen_time,robot_simulation_time,truck_simulation_time,uav_simulation_time,robot_success,truck_success,uav_success,total_time
True,graphrag,22.98821210861206,37.443886041641235,52.043474197387695,37.443886041641235,14.59958815574646,594.1926789283752,121.16219115257263,1.0231316089630127,True,False,True,256.6531391143799
True,graphrag,26.820878744125366,8.936742305755615,19.585254430770874,8.936742305755615,10.648512125015259,10.253770351409912,121.15704107284546,1.0349650382995605,True,False,True,169.64023160934448
True,graphrag,60.005727767944336,21.117605924606323,35.74648356437683,21.117605924606323,14.628877639770508,10.132753849029541,121.13945388793945,121.15148138999939,True,False,False,339.07322788238525
True,graphrag,29.55369544029236,39.36624622344971,59.962064027786255,39.36624622344971,20.595817804336548,10.171291828155518,121.142174243927,1.0235803127288818,True,False,True,212.71082711219788
True,graphrag,29.955403566360474,17.526182651519775,29.04297685623169,17.526182651519775,11.516794204711914,10.161666870117188,121.10946488380432,1.0333211421966553,True,False,True,182.17389750480652
True,graphrag,38.43276524543762,35.60338068008423,62.21999645233154,35.60338068008423,26.616615772247314,10.12660264968872,121.12327194213867,1.023531436920166,True,False,True,223.82783699035645
True,graphrag,22.414000988006592,72.37089705467224,86.30099105834961,72.37089705467224,13.930094003677368,10.223076343536377,121.11547875404358,1.0255460739135742,True,False,True,231.89571070671082
True,graphrag,27.910724639892578,26.729352951049805,38.709049224853516,26.729352951049805,11.979696273803711,10.171866416931152,121.06593227386475,1.0368752479553223,True,False,True,189.75538277626038
True,graphrag,26.33754301071167,43.78862929344177,57.41615653038025,43.78862929344177,13.627527236938477,10.177278518676758,121.08966207504272,1.0248970985412598,True,False,True,206.90283513069153
True,graphrag,23.36277151107788,7.732309579849243,20.07232356071472,7.732309579849243,12.340013980865479,10.18733024597168,121.11493134498596,1.0296838283538818,True,False,True,166.61554884910583
True,graphrag,19.970804929733276,27.005295276641846,38.62116837501526,27.005295276641846,11.615873098373413,10.142865180969238,1.0208282470703125,1.022859811782837,True,True,True,61.66708445549011
